Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damage ('000 US$),Start_Date,End_Date,Duration,Season,Primary_State,Deaths_log,Affected_log,Damage_log,Disaster Type_encoded,Disaster Subtype_encoded,Disaster Subgroup_encoded,Season_encoded,Primary_State_encoded,Magnitude Scale_encoded
Geophysical,Earthquake,Ground movement,Andaman Islands district (Andaman and Nicobar province),6.5,Moment Magnitude,2002,9.0,13.0,2002,9.0,13.0,2.0,200.0,160000.0,2002-09-13,2002-09-13,1.0,Monsoon,Unknown,1.0986122886681098,5.303304908059076,11.982935344196433,1,11,2,0,25,2
Geophysical,Earthquake,Tsunami,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",9.1,Moment Magnitude,2004,12.0,26.0,2004,12.0,26.0,16389.0,654512.0,1022800.0,2004-12-26,2004-12-26,1.0,Winter,Andhra Pradesh,9.704426671737876,13.391646726625286,13.838055500106943,1,27,2,3,0,2
Geophysical,Earthquake,Ground movement,Administrative unit not available districts (Jammu and Kashmir province),7.6,Moment Magnitude,2005,10.0,8.0,2005,10.0,8.0,1309.0,156622.0,1000000.0,2005-10-08,2005-10-08,1.0,Post-Monsoon,Jammu,7.177782416195197,11.96159692276329,13.815511557963774,1,11,2,1,9,2
Geophysical,Earthquake,Ground movement,"Sikkim, West Bengal, Bihar, Assam, Meghalaya provinces",6.9,Moment Magnitude,2011,9.0,18.0,2011,9.0,18.0,112.0,575200.0,160000.0,2011-09-18,2011-09-18,1.0,Monsoon,West Bengal,4.727387818712341,13.262474823913193,11.982935344196433,1,11,2,0,28,2
Geophysical,Earthquake,Ground movement,Administrive unit not available district (Jammu and Kashmir province),5.7,Moment Magnitude,2013,5.0,1.0,2013,5.0,1.0,3.0,59350.0,120000.0,2013-05-01,2013-05-01,1.0,Summer,Jammu,1.3862943611198906,10.99122424909553,11.695255355062795,1,11,2,2,9,2
Geophysical,Earthquake,Ground movement,"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",7.8,Moment Magnitude,2015,4.0,25.0,2015,4.0,25.0,78.0,560.0,160000.0,2015-04-25,2015-04-25,1.0,Summer,West Bengal,4.3694478524670215,6.329720905522696,11.982935344196433,1,11,2,2,28,2
Geophysical,Earthquake,Ground movement,Bihar province,7.3,Moment Magnitude,2015,5.0,12.0,2015,5.0,12.0,20.0,30000.0,160000.0,2015-05-12,2015-05-12,1.0,Summer,Bihar,3.044522437723423,10.308985993422082,11.982935344196433,1,11,2,2,3,2
Geophysical,Earthquake,Ground movement,"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",7.5,Moment Magnitude,2015,10.0,26.0,2015,10.0,26.0,49.0,10.0,160000.0,2015-10-26,2015-10-26,1.0,Post-Monsoon,Punjab,3.912023005428146,2.3978952727983707,11.982935344196433,1,11,2,1,20,2
Geophysical,Earthquake,Ground movement,"Guwahati city (Kamrup district, Assam province), East Imphal, West Imphal, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",6.7,Moment Magnitude,2016,1.0,3.0,2016,1.0,3.0,8.0,10808.0,75000.0,2016-01-03,2016-01-03,1.0,Winter,Assam,2.1972245773362196,9.288134399416203,11.225256725762893,1,11,2,3,2,2
Geophysical,Earthquake,Ground movement,"Kamrup and Nagaon (Sonitpur District, northern Assam State)",6.4,Moment Magnitude,2021,4.0,28.0,2021,4.0,28.0,2.0,3010.0,160000.0,2021-04-28,2021-04-28,1.0,Summer,Assam,1.0986122886681098,8.010027528481734,11.982935344196433,1,11,2,2,2,2
Biological,Epidemic,Infectious disease (General),Bihar,,Vaccinated,1990,8.0,1.0,1990,8.0,1.0,90.0,18000.0,160000.0,1990-08-01,1990-08-01,1.0,Monsoon,Bihar,4.51085950651685,9.798182590890704,11.982935344196433,2,14,0,0,3,3
Biological,Epidemic,Parasitic disease,Gujarat,,Vaccinated,1990,9.0,1.0,1990,9.0,1.0,58.0,30000.0,160000.0,1990-09-01,1990-09-01,1.0,Monsoon,Gujarat,4.07753744390572,10.308985993422082,11.982935344196433,2,19,0,0,6,3
Biological,Epidemic,Bacterial disease,"Nagaon, Morigon districts (Assam)",,,1991,10.0,1.0,1991,10.0,1.0,185.0,30000.0,160000.0,1991-10-01,1991-10-01,1.0,Post-Monsoon,Assam,5.225746673713202,10.308985993422082,11.982935344196433,2,2,0,1,2,4
Biological,Epidemic,Bacterial disease,"Surat (Gujarat state), Beed (Maharashtra state)",,,1994,9.0,28.0,1994,9.0,28.0,53.0,5150.0,160000.0,1994-09-28,1994-09-28,1.0,Monsoon,Gujarat,3.9889840465642745,8.546946149565585,11.982935344196433,2,2,0,0,6,4
Biological,Epidemic,Viral disease,New Delhi,56000.0,Vaccinated,1996,10.0,4.0,1996,11.0,28.0,354.0,8423.0,160000.0,1996-10-04,1996-11-28,55.0,Post-Monsoon,Delhi,5.872117789475416,9.03884005381381,11.982935344196433,2,28,0,1,4,3
Biological,Epidemic,Bacterial disease,"Valsad, Chikali and Gandevi (Valsad district) and Vyara and Mahuva taluks (Surat district)",,,1997,7.0,15.0,1997,9.0,11.0,48.0,413.0,160000.0,1997-07-15,1997-09-11,58.0,Monsoon,Unknown,3.8918202981106265,6.025865973825314,11.982935344196433,2,2,0,0,25,4
Biological,Epidemic,Viral disease,Lucknow (city) Level 1 = Uttar Pradesh,,Vaccinated,1997,12.0,10.0,1997,12.0,10.0,49.0,210.0,160000.0,1997-12-10,1997-12-10,1.0,Winter,Uttar Pradesh,3.912023005428146,5.351858133476067,11.982935344196433,2,28,0,3,26,3
Biological,Epidemic,Viral disease,Kahool,,Vaccinated,1997,8.0,1.0,1997,,1.0,32.0,267.0,160000.0,,,1.0,Summer,Unknown,3.4965075614664802,5.5909869805108565,11.982935344196433,2,28,0,2,25,3
Biological,Epidemic,Bacterial disease,"Assam, Adilabad, Karimnaga - Level 1 = Andhra Pradesh, West Bangal",,,1998,7.0,1.0,1998,7.0,1.0,679.0,14632.0,160000.0,1998-07-01,1998-07-01,1.0,Monsoon,Andhra Pradesh,6.522092798170152,9.591034531092426,11.982935344196433,2,2,0,0,0,4
Biological,Epidemic,Viral disease,Level 1 = Uttar Pradesh,,Vaccinated,1998,8.0,1.0,1998,8.0,1.0,128.0,606.0,160000.0,1998-08-01,1998-08-01,1.0,Monsoon,Uttar Pradesh,4.859812404361672,6.408528791059498,11.982935344196433,2,28,0,0,26,3
Biological,Epidemic,Viral disease,"Khanpur, Jhalawar district, Level 1 = Delhi & Rajahastan",,Vaccinated,1999,3.0,6.0,1999,3.0,6.0,49.0,285.0,160000.0,1999-03-06,1999-03-06,1.0,Summer,Delhi,3.912023005428146,5.655991810819852,11.982935344196433,2,28,0,2,4,3
Biological,Epidemic,Viral disease,Andhra Pradesh,,Vaccinated,1999,9.0,1.0,1999,12.0,6.0,200.0,765.0,160000.0,1999-09-01,1999-12-06,96.0,Monsoon,Andhra Pradesh,5.303304908059076,6.641182169740591,11.982935344196433,2,28,0,0,0,3
Biological,Epidemic,Parasitic disease,Masarkal,,Vaccinated,1999,10.0,1.0,1999,10.0,1.0,1.0,499.0,160000.0,1999-10-01,1999-10-01,1.0,Post-Monsoon,Unknown,0.6931471805599453,6.214608098422191,11.982935344196433,2,19,0,1,25,3
Biological,Epidemic,Infectious disease (General),Orissa,,Vaccinated,1999,11.0,1.0,1999,11.0,1.0,69.0,77880.0,160000.0,1999-11-01,1999-11-01,1.0,Post-Monsoon,Odisha,4.248495242049359,11.262937299670778,11.982935344196433,2,14,0,1,19,3
Biological,Epidemic,Bacterial disease,Delhi,,,2000,5.0,1.0,2000,5.0,1.0,49.0,192.0,160000.0,2000-05-01,2000-05-01,1.0,Summer,Delhi,3.912023005428146,5.262690188904886,11.982935344196433,2,2,0,2,4,4
Biological,Epidemic,Bacterial disease,"Mumbai, Thane districts",,,2000,7.0,1.0,2000,7.0,1.0,27.0,79.0,160000.0,2000-07-01,2000-07-01,1.0,Monsoon,Unknown,3.332204510175204,4.382026634673881,11.982935344196433,2,2,0,0,25,4
Biological,Epidemic,Viral disease,Nawadah district (Bihar),,Vaccinated,2000,8.0,31.0,2000,8.0,31.0,19.0,58.0,160000.0,2000-08-31,2000-08-31,1.0,Monsoon,Bihar,2.995732273553991,4.07753744390572,11.982935344196433,2,28,0,0,3,3
Biological,Epidemic,Viral disease,Andhra Pradesh state,,Vaccinated,2000,10.0,12.0,2000,10.0,12.0,14.0,64.0,160000.0,2000-10-12,2000-10-12,1.0,Post-Monsoon,Andhra Pradesh,2.70805020110221,4.174387269895637,11.982935344196433,2,28,0,1,0,3
Biological,Epidemic,Infectious disease (General),Siliguri (West Bengal),,Vaccinated,2001,2.0,1.0,2001,2.0,1.0,28.0,42.0,160000.0,2001-02-01,2001-02-01,1.0,Winter,West Bengal,3.367295829986474,3.7612001156935624,11.982935344196433,2,14,0,3,28,3
Biological,Epidemic,Bacterial disease,"Mumbai, Thane",,,2001,6.0,18.0,2001,6.0,18.0,16.0,83.0,160000.0,2001-06-18,2001-06-18,1.0,Monsoon,Unknown,2.833213344056216,4.430816798843313,11.982935344196433,2,2,0,0,25,4
Biological,Epidemic,Bacterial disease,Orissa State,,,2001,7.0,7.0,2001,8.0,1.0,33.0,34078.0,160000.0,2001-07-07,2001-08-01,25.0,Monsoon,Odisha,3.5263605246161616,10.436436637789742,11.982935344196433,2,2,0,0,19,4
Biological,Epidemic,Parasitic disease,Orissa state,,Vaccinated,2001,8.0,1.0,2001,8.0,1.0,12.0,24686.0,160000.0,2001-08-01,2001-08-01,1.0,Monsoon,Odisha,2.5649493574615367,10.114032068273822,11.982935344196433,2,19,0,0,19,3
Biological,Epidemic,Viral disease,Mandi district,,Vaccinated,2002,3.0,12.0,2002,3.0,12.0,49.0,200.0,160000.0,2002-03-12,2002-03-12,1.0,Summer,Unknown,3.912023005428146,5.303304908059076,11.982935344196433,2,28,0,2,25,3
Biological,Epidemic,Parasitic disease,Assam,,Vaccinated,2002,5.0,1.0,2002,5.0,1.0,50.0,4950.0,160000.0,2002-05-01,2002-05-01,1.0,Summer,Assam,3.9318256327243257,8.507344855361422,11.982935344196433,2,19,0,2,2,3
Biological,Epidemic,Viral disease,Assam,,Vaccinated,2002,8.0,13.0,2002,8.0,13.0,86.0,30000.0,160000.0,2002-08-13,2002-08-13,1.0,Monsoon,Assam,4.465908118654584,10.308985993422082,11.982935344196433,2,28,0,0,2,3
Biological,Epidemic,Infectious disease (General),Saharanpur (Uttar Pradesh),,Vaccinated,2002,9.0,1.0,2002,9.0,1.0,44.0,30000.0,160000.0,2002-09-01,2002-09-01,1.0,Monsoon,Uttar Pradesh,3.8066624897703196,10.308985993422082,11.982935344196433,2,14,0,0,26,3
Biological,Epidemic,Viral disease,Delhi,,Vaccinated,2003,6.0,1.0,2003,11.0,9.0,49.0,2185.0,160000.0,2003-06-01,2003-11-09,161.0,Monsoon,Delhi,3.912023005428146,7.689828668736484,11.982935344196433,2,28,0,0,4,3
